order_id,customer_id,customer_name,email,order_date,total_price,currency,status,financial_status,fulfillment_status,payment_method,discount_code,discount_amount,shipping_address,shipping_country,tracking_number,tracking_company,refunds,line_items
INT-149573,CUST-2886,Heather Wallace,laurie39@gmail.com,2024-12-22,565.4,USD,paid,refunded,fulfilled,credit_card,,,"368 James Drive Apt. 501, New Brian, AR 61913",DE,TRK-613829,DHL,"{""refund_id"": ""RF-55523"", ""refund_amount"": 531.4, ""refund_reason"": ""Wrong size"", ""refund_date"": ""2025-03-02"", ""refund_method"": ""manual_adjustment""}",5 products
INT-848069,CUST-6014,Barbara Olson,omartinez@gonzalez.com,2025-02-27,841.88,USD,pending,partially_refunded,partial,credit_card,,0.0,"985 Mary Shoal Apt. 066, Stevenfurt, KY 49299",GB,,,"{""refund_id"": ""RF-31594"", ""refund_amount"": 484.23, ""refund_reason"": ""Wrong size"", ""refund_date"": ""2025-03-02"", ""refund_method"": ""manual_adjustment""}",2 products
INT-103804,CUST-7034,Monica Greene,smithdavid@sullivan.com,2025-02-25,457.0,EUR,refunded,paid,fulfilled,credit_card,SUMMER20,37.03,"PSC 1359, Box 3635, APO AA 17331",DE,TRK-296097,USPS,null,5 products
INT-504521,CUST-4795,Victoria Mcpherson,igross@hotmail.com,2025-02-22,600.41,USD,canceled,partially_refunded,unfulfilled,bank_transfer,WELCOME10,9.81,"81410 Sharon Square Suite 452, Joshuaport, CT 39643",US,,,"{""refund_id"": ""RF-30957"", ""refund_amount"": 384.66, ""refund_reason"": ""Customer changed mind"", ""refund_date"": ""2025-03-03"", ""refund_method"": ""store_credit""}",2 products
INT-236913,CUST-9850,Heather Wood,,2024-12-14,59.62,GBP,shipped,refunded,fulfilled,paypal,,0.0,"Unit 5234 Box 5537, DPO AA 64626",GB,TRK-645178,,"{""refund_id"": ""RF-18265"", ""refund_amount"": 12.13, ""refund_reason"": ""Wrong size"", ""refund_date"": ""2024-12-21"", ""refund_method"": ""original_payment""}",3 products
INT-730040,CUST-8012,Dana Wilson,campbelljohn@yahoo.com,2025-03-08,703.66,GBP,shipped,partially_refunded,fulfilled,credit_card,,0.0,"992 Ryan Viaduct, Brittanymouth, MO 94533",CA,TRK-848361,USPS,"{""refund_id"": ""RF-86781"", ""refund_amount"": 133.54, ""refund_reason"": ""Defective item"", ""refund_date"": ""2025-03-10"", ""refund_method"": ""store_credit""}",4 products
INT-301428,CUST-8864,Alexander Hayes,tracey12@smith-webb.org,2025-01-31,571.45,USD,pending,refunded,unfulfilled,bank_transfer,WELCOME10,32.7,"74151 Wyatt Canyon, North Danielside, TN 57561",DE,,,"{""refund_id"": ""RF-68371"", ""refund_amount"": 258.2, ""refund_reason"": ""Defective item"", ""refund_date"": ""2025-02-26"", ""refund_method"": ""manual_adjustment""}",4 products
INT-468187,CUST-8578,Jennifer Stewart,bbriggs@hotmail.com,2025-02-17,873.19,GBP,canceled,refunded,partial,gift_card,,0.0,"USNS Andrews, FPO AA 47514",FR,,,"{""refund_id"": ""RF-55907"", ""refund_amount"": 294.55, ""refund_reason"": ""Customer changed mind"", ""refund_date"": ""2025-03-06"", ""refund_method"": ""store_credit""}",5 products
INT-428706,CUST-1133,Hannah Hernandez,brendabrennan@gmail.com,2025-02-14,790.71,EUR,refunded,voided,unfulfilled,bank_transfer,,0.0,"09165 Robertson Unions, East Julianfort, IA 60573",US,,,null,4 products
INT-354254,CUST-5128,Gregory Powell,wkhan@hotmail.com,2025-02-12,620.11,EUR,shipped,voided,partial,bank_transfer,,0.0,"54984 Mason Summit, East Michelle, VT 12366",CA,,,null,5 products
INT-733451,CUST-1343,Courtney Brown,qperez@hotmail.com,2025-03-07,362.91,EUR,pending,voided,partial,paypal,,0.0,"559 Stevens Neck, Nguyenbury, SC 42387",US,,,null,1 products
INT-902417,CUST-3341,Charles Moore,monicawerner@osborne.biz,2025-03-01,546.67,EUR,paid,refunded,partial,gift_card,SUMMER20,24.61,"19791 Blake Walks, Lake Anna, MT 72459",GB,,,"{""refund_id"": ""RF-89469"", ""refund_amount"": 63.26, ""refund_reason"": ""Wrong size"", ""refund_date"": ""2025-03-08"", ""refund_method"": ""store_credit""}",4 products
INT-695327,CUST-6876,Brandon Johnson,alvarezjason@yahoo.com,2025-02-23,430.62,EUR,canceled,paid,fulfilled,credit_card,WELCOME10,13.3,"1823 Ryan Ports Suite 269, Lake Leonmouth, UT 38858",FR,TRK-826403,FedEx,null,3 products
